test_year,event_id,component,phase_bucket,size,aircraft_mass_class,part_damage,event_hard,cost,aos,species,airport_id,airport,aircraft
2021,1512237.0,engine,departure,LARGE,4,True,True,872445.0,75.0,Bald eagle,KPDX,PORTLAND INTL (OR),B-737-8
1999,1436947.0,engine,departure,LARGE,4,True,True,865672.0,77.0,Snow goose,KPHL,PHILADELPHIA INTL,B-727-200
2021,1214406.0,engine,arrival,LARGE,4,True,True,864865.0,110.0,Canada goose,KLGA,LA GUARDIA ARPT,EMB-170
2022,1370984.0,tail,arrival,LARGE,3,True,True,857220.0,2190.0,Black vulture,KOCF,OCALA INTL ARPT-JIM TAYLOR FIELD,CITATION EXL
2005,678466.0,engine,departure,MEDIUM,4,True,True,854880.0,0.0,Ring-billed gull,KPHL,PHILADELPHIA INTL,B-737-300
2005,679537.0,engine,departure,MEDIUM,4,True,True,851497.0,0.0,Mallard,KFSD,JOE FOSS FIELD ARPT,A-300
2012,741387.0,engine,arrival,LARGE,4,True,True,849362.0,18.0,Unknown bird - large,TJSJ,LUIS MUNOZ MARIN INTL,MD-11
2018,1091478.0,engine,departure,MEDIUM,4,True,True,847360.0,240.0,Northern shoveler,HECA,CAIRO INTL,GULFSTREAM V
2000,1436405.0,engine,departure,MEDIUM,5,True,True,831766.0,0.0,Unknown bird - medium,KFOE,TOPEKA REGIONAL AIRPORT,B-747-1/200
2021,1166979.0,radome,arrival,LARGE,4,True,True,830900.0,100.0,Unknown bird - large,KSMF,SACRAMENTO INTL,B-737-700
2005,1409479.0,propeller,arrival,LARGE,2,True,True,828576.0,264.0,White-tailed deer,KSKY,GRIFFING SANDUSKY ARPT,PA-31T CHEYENNE
2015,777198.0,tail,arrival,LARGE,4,True,True,813600.0,20.0,Unknown bird - large,MDPC,PUNTA CANA INTL,B-737-800
2001,643574.0,engine,departure,MEDIUM,4,True,True,804406.0,0.0,Gulls,KDAB,DAYTONA BEACH INTL,MD-88
2005,1350808.0,radome,arrival,LARGE,3,True,True,789120.0,0.0,Coyote,KBAZ,NEW BRAUNFELS MUNICIPAL ARPT,IAI-1124
2005,1350808.0,other,arrival,LARGE,3,True,True,789120.0,0.0,Coyote,KBAZ,NEW BRAUNFELS MUNICIPAL ARPT,IAI-1124
2001,649561.0,engine,arrival,LARGE,4,True,True,780020.0,144.0,Canada goose,KIAD,WASHINGTON DULLES INTL ARPT,B-737-500
2004,1436972.0,engine,departure,LARGE,3,True,True,764550.0,0.0,Trumpeter swan,KAZO,KALAMAZOO/BATTLE CREEK INTL,EMB-145
2004,1436972.0,wing_rotor,departure,LARGE,3,True,True,764550.0,0.0,Trumpeter swan,KAZO,KALAMAZOO/BATTLE CREEK INTL,EMB-145
2016,786927.0,wing_rotor,arrival,LARGE,2,True,True,756535.0,50.0,White-tailed deer,KZER,SCHUYKILL COUNTY (JOE ZERBEY) ARPT,CITATIONJET
2004,668136.0,radome,departure,LARGE,4,True,True,750958.0,408.0,Unknown bird - large,KSAT,SAN ANTONIO INTL,A-300
2001,652767.0,engine,arrival,LARGE,4,True,True,750270.0,24.0,Double-crested cormorant,KBOS,GENERAL EDWARD LAWRENCE LOGAN INTL ARPT,DC-8-61
2002,657265.0,propeller,arrival,LARGE,2,True,True,749700.0,36.0,White-tailed deer,KAND,ANDERSON REGIONAL,BE-200 KING
2000,1367770.0,engine,departure,MEDIUM,5,True,True,746000.0,72.0,Western gull,KLAX,LOS ANGELES INTL,B-747-1/200
2005,674477.0,wing_rotor,arrival,LARGE,2,True,True,740622.0,0.0,White-tailed deer,N51,SOLBERG-HUNTERDON,C-421
2005,674477.0,propeller,arrival,LARGE,2,True,True,740622.0,0.0,White-tailed deer,N51,SOLBERG-HUNTERDON,C-421
2005,674477.0,landing_gear,arrival,LARGE,2,True,True,740622.0,0.0,White-tailed deer,N51,SOLBERG-HUNTERDON,C-421
2023,1504003.0,wing_rotor,departure,LARGE,3,True,True,739200.0,2000.0,Canada goose,KTEB,TETERBORO AIRPORT,HAWKER 750
