ev_id,year,damage,severe,component_group,component,phase,size,mass,wildlife_hit,component_hit,phase_hit,size_hit,component_consistent,phase_consistent,size_consistent,severe_consistent,mapped_consistent,evidence_snippet
20121025X00735,2012,SUBS,yes,other named component,tail,departure,LARGE,UNKNOWN,bird; deer,stabilizer; empennage,takeoff; takeoff roll,deer,1,1,1,1,1,"according to the pilot, during the takeoff roll, two deer ran out onto the runway. the airplane struck one deer with the propeller and the second deer with the right horizontal sta"
20130513X12857,2013,SUBS,yes,other named component,tail,arrival,LARGE,UNKNOWN,bird,stabilizer,landed,large bird,1,1,1,1,1,"g to the pilot, while en route to the destination airport at an altitude of 1,700 feet, a large bird struck the right horizontal stabilizer resulting in substantial damage. the pil"
20130819X21119,2013,SUBS,yes,other named component,fuselage,departure,LARGE,1,bird; deer,fuselage,takeoff,deer,1,1,1,1,1,"the pilot said that as he rotated the airplane for liftoff, he struck a deer. he made the decision to continue the takeoff and successfully flew the airplane around the traffic pat"
20140430X31304,2014,SUBS,yes,other named component,landing gear,arrival,LARGE,1,bird; deer; wildlife,landing gear; gear,landing; approach,deer,1,1,1,1,1,"the pilot approached his home airport on a long, straight-in, visual approach to land on a clear night with no wind. as the airplane touched down on the main landing gear, the pilo"
20140711X04435,2014,SUBS,yes,other named component,propeller,departure,MEDIUM,UNKNOWN,bird; birds,propeller,departed,bird,1,1,1,1,1,"pattern for landing. he reported that the downwind leg was too close to the runway, so he departed the pattern and re-entered for a more stable approach. during the landing he look"
20140829X35637,2014,SUBS,yes,other named component,landing gear,departure,LARGE,1,bird; deer,landing gear; gear,takeoff; departed,deer,1,1,1,1,1,pilot of the tailwheel-equipped airplane was attempting to depart from the runway when a deer suddenly began approaching the runway from the left. he attempted to steer the airpla
20140910X51452,2014,SUBS,yes,other named component,landing gear,departure,UNKNOWN,1,eagle,landing gear; gear,departed,none,1,1,1,1,1,"on september 3, 2014, about 1100 central daylight time, a davis benny christen eagle ii airplane, n229hp, sustained substantial damage after a runway excursion during landing on"
20141107X83721,2014,SUBS,yes,other named component,radome,arrival,LARGE,2,bird; birds; geese; goose,radome,landing; approach,geese; goose; flock,1,1,1,1,1,"ey were about 15 miles from their destination airport descending to land, the pilot saw a flock of geese. the pilot reported that he did not have time to avoid the birds and there"
20151001X22006,2015,,yes,other named component,tail,departure,UNKNOWN,UNKNOWN,eagle,tail,climb,none,1,1,1,1,1,"meteorological conditions prevailed for the local flight that originated near the double eagle ii airport (aeg), albuquerque, new mexico, about 0700 mdt. the pilot reported the pu"
20151119X04728,2015,SUBS,yes,other named component,landing gear,arrival,LARGE,1,coyote,gear,landing; flare,coyote,1,1,1,1,1,"the pilot reported that during an intentional landing on the grass parallel to an asphalt runway, he touched down fast and bounced ""slightly."" he then became distracted when anothe"
20160511X50135,2016,SUBS,yes,other named component,tail,arrival,LARGE,1,bird; deer; wildlife,stabilizer; rudder,landing,deer,1,1,1,1,1,"according to the flight instructor, during the landing roll, two deer ran on to the runway. he reported that the airplane struck one of the deer, exited the right side of the runwa"
20081003X16303,2008,,yes,residual component,other,departure,UNKNOWN,3,eagle,none,departed,none,1,1,1,1,1,"on may 27, 2008, at about 10:00 am central daylight time, american eagle flight 3646, an embraer 140, inadvertently flew through turbulent air. the seat belt sign was off at the t"
