test_year,operation_stratum,score,budget_share,test_component_records,target_records,selected_component_records,captured_target_records,capture_rate,selected_target_rate,overall_target_rate,lift,weighted_capture_rate,weighted_lift
2010,high operations,component_transition_score,0.05,1787,116,90,39,0.33620689655172414,0.43333333333333335,0.06491326245103525,6.675574712643678,0.3382841451025806,6.686524285637869
2010,high operations,component_transition_score,0.1,1787,116,179,57,0.49137931034482757,0.31843575418994413,0.06491326245103525,4.9055576960123295,0.49259515044565566,4.91451722918437
2010,all matched,airport_operations_only,0.05,5400,336,270,16,0.047619047619047616,0.05925925925925926,0.06222222222222222,0.9523809523809524,0.04188781184394507,0.9560640551808571
2010,all matched,airport_operations_only,0.1,5400,336,540,30,0.08928571428571429,0.05555555555555555,0.06222222222222222,0.8928571428571428,0.07962917539820037,0.8948640358902772
2010,low operations,airport_operations_only,0.05,1985,110,100,3,0.02727272727272727,0.03,0.055415617128463476,0.5413636363636364,0.025883891022975766,0.5388087342158516
2010,low operations,airport_operations_only,0.1,1985,110,199,6,0.05454545454545454,0.03015075376884422,0.055415617128463476,0.5440840566468707,0.051896989085320824,0.5417199536274242
2010,medium operations,airport_operations_only,0.05,1628,110,82,6,0.05454545454545454,0.07317073170731707,0.06756756756756757,1.0829268292682925,0.0526326968754203,1.084145874322894
2010,medium operations,airport_operations_only,0.1,1628,110,163,11,0.1,0.06748466257668712,0.06756756756756757,0.9987730061349692,0.09666790976710651,0.9996543079597144
2010,high operations,airport_operations_only,0.05,1787,116,90,5,0.04310344827586207,0.05555555555555555,0.06491326245103525,0.8558429118773947,0.040661792999989815,0.8530724540501972
2010,high operations,airport_operations_only,0.1,1787,116,179,9,0.07758620689655173,0.05027932960893855,0.06491326245103525,0.774561741475631,0.07337527739150802,0.7728384372255012
2011,all matched,component_transition_score,0.05,5459,305,273,114,0.3737704918032787,0.4175824175824176,0.05587103865176772,7.474040713384976,0.37951857948627304,7.530904115695511
2011,all matched,component_transition_score,0.1,5459,305,546,168,0.5508196721311476,0.3076923076923077,0.05587103865176772,5.507187894073141,0.5540012622068557,5.520912823953389
2011,low operations,component_transition_score,0.05,1923,87,97,40,0.45977011494252873,0.41237113402061853,0.0452418096723869,9.114824031283327,0.46232964077777194,9.095067015789231
2011,low operations,component_transition_score,0.1,1923,87,193,55,0.632183908045977,0.2849740932642487,0.0452418096723869,6.298910130427014,0.6320179738776067,6.285464260903563
2011,medium operations,component_transition_score,0.05,1664,108,84,37,0.3425925925925926,0.44047619047619047,0.06490384615384616,6.786596119929452,0.34482742306416475,6.818007124010601
2011,medium operations,component_transition_score,0.1,1664,108,167,53,0.49074074074074076,0.31736526946107785,0.06490384615384616,4.889776003548458,0.49316152446039935,4.9077758219368
2011,high operations,component_transition_score,0.05,1872,110,94,38,0.34545454545454546,0.40425531914893614,0.05876068376068376,6.879690522243713,0.34665957774954215,6.889311285060398
2011,high operations,component_transition_score,0.1,1872,110,188,62,0.5636363636363636,0.32978723404255317,0.05876068376068376,5.61237911025145,0.5634380779320637,5.602754075651395
2011,all matched,airport_operations_only,0.05,5459,305,273,23,0.07540983606557378,0.08424908424908426,0.05587103865176772,1.507920494805741,0.06756248902767627,1.521153638468604
2011,all matched,airport_operations_only,0.1,5459,305,546,37,0.12131147540983607,0.06776556776556776,0.05587103865176772,1.2128925719089654,0.10954631833945515,1.2206644905904056
2011,low operations,airport_operations_only,0.05,1923,87,97,4,0.04597701149425287,0.041237113402061855,0.0452418096723869,0.9114824031283327,0.04375669143030971,0.9114342244156665
2011,low operations,airport_operations_only,0.1,1923,87,193,9,0.10344827586206896,0.046632124352331605,0.0452418096723869,1.0307307486153297,0.09865673423608401,1.031004957562877
2011,medium operations,airport_operations_only,0.05,1664,108,84,4,0.037037037037037035,0.047619047619047616,0.06490384615384616,0.7336860670194002,0.03582763497429679,0.736178045953673
2011,medium operations,airport_operations_only,0.1,1664,108,167,10,0.09259259259259259,0.059880239520958084,0.06490384615384616,0.9225992459525393,0.08967367802644696,0.9257686215778147
2011,high operations,airport_operations_only,0.05,1872,110,94,7,0.06363636363636363,0.07446808510638298,0.05876068376068376,1.267311411992263,0.06048614291984702,1.2708110122853447
2011,high operations,airport_operations_only,0.1,1872,110,188,16,0.14545454545454545,0.0851063829787234,0.05876068376068376,1.4483558994197292,0.13906654220495515,1.451223566442951
2012,all matched,component_transition_score,0.05,5643,336,283,127,0.37797619047619047,0.44876325088339225,0.05954279638490165,7.5368185259969716,0.3778323865025661,7.476925193263106
2012,all matched,component_transition_score,0.1,5643,336,565,189,0.5625,0.3345132743362832,0.05954279638490165,5.618030973451328,0.563446811693947,5.606515984587075
