test_year,score,budget_share,test_component_records,selected_component_records,target_records,captured_target_records,damage_capture_rate,selected_damage_rate,damage_lift,hard_records,captured_hard_records,hard_capture_rate,selected_hard_rate,hard_lift,total_event_cost,selected_event_cost,event_cost_capture_rate,total_event_aos,selected_event_aos,event_aos_capture_rate
2006,hierarchical_component_transition,0.05,6752,338,696,210,0.3017241379310345,0.621301775147929,6.027341358906345,1423,278,0.19536191145467321,0.8224852071005917,3.9026142785264897,50141733.0,21585103.0,0.4304817904877759,38892.5,30120.0,0.7744423732082021
2006,hierarchical_component_transition,0.1,6752,676,696,347,0.4985632183908046,0.5133136094674556,4.979732027477386,1423,489,0.3436401967673928,0.7233727810650887,3.4323352197831896,50141733.0,31063216.0,0.6195082248154447,38892.5,33661.0,0.8654882046667095
2006,component_phase_size_mass_rate,0.05,6752,338,696,205,0.29454022988505746,0.606508875739645,5.8838332313133375,1423,268,0.18833450456781448,0.7928994082840237,3.7622324699464005,50141733.0,21046711.0,0.4197443873748839,38892.5,21440.0,0.5512630969981359
2006,component_phase_size_mass_rate,0.1,6752,676,696,335,0.4813218390804598,0.49556213017751477,4.807522274365776,1423,473,0.3323963457484188,0.6997041420118343,3.320029772919118,50141733.0,31314252.0,0.6245147530102321,38892.5,33737.0,0.8674423089284566
2006,component_phase_size_mass_frequency,0.05,6752,338,696,25,0.035919540229885055,0.07396449704142012,0.7175406379650412,1423,39,0.027406886858749122,0.11538461538461539,0.5474890534623493,50141733.0,1796144.0,0.03582133868408577,38892.5,58.5,0.0015041460435816674
2006,component_phase_size_mass_frequency,0.1,6752,676,696,48,0.06896551724137931,0.07100591715976332,0.6888390124464395,1423,71,0.049894588896697116,0.10502958579881656,0.4983554204593179,50141733.0,2039051.0,0.04066574643520997,38892.5,76.5,0.001966960210837565
2006,posterior_expected_burden,0.05,6752,338,696,209,0.30028735632183906,0.6183431952662722,5.998639733387745,1423,285,0.20028109627547436,0.8431952662721893,4.000881544532552,50141733.0,15083907.0,0.30082540226521487,38892.5,31038.0,0.7980458957382529
2006,posterior_expected_burden,0.1,6752,676,696,339,0.4870689655172414,0.5014792899408284,4.864925525402978,1423,486,0.34153197470133523,0.7189349112426036,3.4112779484961764,50141733.0,29332970.0,0.5850011207231309,38892.5,32906.0,0.8460757215401427
2006,posterior_damage_gated_burden,0.05,6752,338,696,212,0.3045977011494253,0.6272189349112426,6.084744609943549,1423,285,0.20028109627547436,0.8431952662721893,4.000881544532552,50141733.0,14805861.0,0.29528020102536146,38892.5,30158.0,0.7754194253390757
2006,posterior_damage_gated_burden,0.1,6752,676,696,346,0.49712643678160917,0.5118343195266272,4.965381214718084,1423,496,0.34855938158819394,0.7337278106508875,3.481468852786221,50141733.0,31732276.0,0.6328516008810465,38892.5,34155.0,0.8781898823680658
2006,posterior_tail_burden,0.05,6752,338,696,209,0.30028735632183906,0.6183431952662722,5.998639733387745,1423,282,0.19817287420941673,0.834319526627219,3.9587670019585257,50141733.0,14805861.0,0.29528020102536146,38892.5,30159.0,0.7754451372372565
2006,posterior_tail_burden,0.1,6752,676,696,349,0.5014367816091954,0.5162721893491125,5.008433652995988,1423,496,0.34855938158819394,0.7337278106508875,3.481468852786221,50141733.0,31423022.0,0.6266840039214441,38892.5,34131.0,0.8775727968117246
2006,posterior_event_tail_burden,0.05,6752,338,696,208,0.2988505747126437,0.6153846153846154,5.969938107869143,1423,289,0.20309205903021785,0.8550295857988166,4.057034267964589,50141733.0,14964918.0,0.29845234906420165,38892.5,29079.0,0.7476762872019027
2006,posterior_event_tail_burden,0.1,6752,676,696,338,0.48563218390804597,0.5,4.850574712643678,1423,498,0.3499648629655657,0.7366863905325444,3.49550703364423,50141733.0,29203649.0,0.5824220116205397,38892.5,33289.0,0.8559233785434209
2006,risk_guarded_tail_burden,0.05,6752,338,696,209,0.30028735632183906,0.6183431952662722,5.998639733387745,1423,282,0.19817287420941673,0.834319526627219,3.9587670019585257,50141733.0,14805861.0,0.29528020102536146,38892.5,30159.0,0.7754451372372565
2006,risk_guarded_tail_burden,0.1,6752,676,696,349,0.5014367816091954,0.5162721893491125,5.008433652995988,1423,496,0.34855938158819394,0.7337278106508875,3.481468852786221,50141733.0,31423022.0,0.6266840039214441,38892.5,34131.0,0.8775727968117246
